Outcome,Condition,N,Mean,SD,Median,Minimum,Maximum,CI95 lower,CI95 upper
Privacy awareness,Context-Invariant,20,3.3625,1.7023107360600367,3.75,1.0,7.0,2.5657940513206228,4.159205948679377
Privacy awareness,Context-Adaptive,20,5.8375,1.2281645483788954,6.25,2.75,7.0,5.262701297904475,6.4122987020955255
Social competence,Context-Invariant,20,3.525,1.6240381768911716,3.125,1.0,6.25,2.7649267366390062,4.285073263360993
Social competence,Context-Adaptive,20,4.85,1.212327035954104,4.875,2.5,6.5,4.282613481881132,5.417386518118867
Embarrassment,Context-Invariant,20,3.85,2.0731505532339587,4.0,1.0,7.0,2.879735674409102,4.820264325590898
Embarrassment,Context-Adaptive,20,2.75,1.5963225281988247,2.333333333333333,1.0,5.333333333333333,2.002898059510298,3.497101940489702
