"Outcome","Contrast","N","Difference","95% confidence interval lower","95% confidence interval upper","Holm-adjusted p","Holm p (reported)","Method","Contrast definition"
"Perceived privacy awareness","Overall familiarity",40,-0.34,-1.32,0.64,1,"1.000","OLS with HC3 standard errors and t inference","Familiar minus unfamiliar, equally averaged across robot conditions"
"Perceived social competence","Overall familiarity",40,-0.51,-1.51,0.49,1,"1.000","OLS with HC3 standard errors and t inference","Familiar minus unfamiliar, equally averaged across robot conditions"
"Experienced embarrassment","Overall familiarity",40,1.11,-0.20,2.42,0.569836352504686,"0.570","OLS with HC3 standard errors and t inference","Familiar minus unfamiliar, equally averaged across robot conditions"
"Perceived privacy awareness","Interaction",40,1.53,-0.42,3.49,0.604917353238496,"0.605","OLS with HC3 standard errors and t inference","Familiarity contrast in context-adaptive minus familiarity contrast in context-invariant"
"Perceived social competence","Interaction",40,0.37,-1.62,2.37,1,"1.000","OLS with HC3 standard errors and t inference","Familiarity contrast in context-adaptive minus familiarity contrast in context-invariant"
"Experienced embarrassment","Interaction",40,0.14,-2.48,2.77,1,"1.000","OLS with HC3 standard errors and t inference","Familiarity contrast in context-adaptive minus familiarity contrast in context-invariant"
